PXD	Title	Drug	Cellline/Tissue	Quantification	Disease
PXD003092	Phosphoproteomics analysis of anti-cancer effects of ginsenoside Rg3 in human breast cancer cells	Ginsenoside Rg3	MDA-MB-231	TMT	Breast cancer
PXD003530	Sites of aspirin-mediated lysine acetylation in HeLa cells	Aspirin	HeLa?	LFQ	Cervix carcinoma
PXD006581	Repurposing tofacitinib as an anti-myeloma therapeutic to reverse growth-promoting effects of the bone marrow microenvironment	tofacitinib	BMSC	Label free	
PXD014786	A proteomic approach for characterizing trastuzumab-emtansine modified for nuclear directed localization that enhances cytotoxicity identifies regulatory nuclear transport receptor.	"T-DM1,trastuzumab"	SKBR3	Spectrum count/molecular weight	Breast cancer
PXD018929	Novel Aza-Podophyllotoxin Derivative in Triple Negative Breast Cancer	SU212	"MCF10A,MCF12A,MDA-MB-231,MDA-MB-468"	TMT	Breast cancer
PXD019038	Tumor drug concentration and phosphoproteomic profiles after two weeks of treatment with sunitinib in patients with newly-diagnosed glioblastoma	sunitinib	"GBM: U87,U251,T98G and U138 ，HT29 colon cancer as positive ctl"	Label free	Glioblastoma
PXD023569	Cerulenin action on colon cancer cell line	Cerulenin	RW480	Unknown	Colon cancer
PXD031346	Differential network analysis of ROS1 inhibitors reveals lorlatinib polypharmacology: Phosphotyrosine Profiling	"lorlatinib,cabozantinib,crizotinib,entrectinib"		TMT	Lung cancer
PXD041324	New ruthenium-cyclopentadienyl complexes affect colorectal cancer hallmarks showing high therapeutic potential	"PMC79,PMC78,LCR134 and CR220"	RW480	label-free	Colorectal cancer
PXD041686	Transcriptome and proteome analysis reveals the anti-cancer properties of Hypnea musciformis macroalgae extract in liver and intestinal cancer cells	Hypnea musciformis extract(algae extract)	liver cancer cellline HepG2 and colon cancer cellline LS174	label-free	"Liver cancer,Colon cancer"
PXD043359	Bergenin inhibits growth of human cervical cancer cells by decreasing Galectin-3 and MMP-9 expression	Bergenin	Cervical cancer cells		Cervical cancer
PXD043585	MIB/MS determines SCH772984 is a selective ERK1/2 inhibitor in pancreatic cancer cells	SCH772984	"SW 1990,MIA PaCa-2,PANC-1,HPAC,AsPC-1,Panc 10.05"	label-free	Pancreatic cancer
PXD044042	Phosphoproteomic analysis of Aurora Kinase B inhibition in WT and Cdh1 mutant RPE1 cells	Barasertib	RPE1	TMT	Retinal pigment epithelium
PXD045777	Multilevel Plasticity and Altered Glycosylation Drive Aggressiveness in Hypoxic and Glucose-Deprived Bladder Cancer Cells	glucose deprivation(Cisplatin)	"RT4,5637,T24 和 HT1197(choose T24,5637)"	Label free	Bladder cancer
PXD047335	ANDROGEN DRIVES MELANOMA INVASIVENESS AND METASTATIC SPREAD BY INDUCING TUMORIGENIC FUCOSYLATION: Phosphoproteomics	ARi	melanoma cells	TIC	Melanocyte
PXD048479	Signaling and transcriptional dynamics underlying early adaptation to oncogenic BRAF inhibition	"Vemurafenib,dasatinib"	M397	TMT	Melanoma
PXD048534	The ERK-dependent proteome is enriched in the mouse PDAC KPC RAS-dependent phosphoproteome	RMC7977	"K8484,K18905"	TMT	Pancreatic ductal adenocarcinoma
PXD049299	A Proteomics Approach Identifies RREB1 as a Crucial Molecular Target of Imidazo–Pyrazole Treatment in SKMEL-28 Melanoma Cells	Imidazopyrazole 衍生物CB556	SKMEL-28	Label free	Skin cancer
PXD050555	TMT-10plex-based phosphoproteomics of bioactive compounds in A549 cells	"Chamuangone, Cannabigerol (CBG), Cannabidiol (CBD), NP1-cyclic peptide"	A549	TMT	NSCLC
PXD051299	Polydopamine nanoparticles-based hyperthermal chemotherapy for the treatment of liver cancer	Sorafenib	HepG2	Unknown	Unknown
PXD051376	Unlocking Selective Anticancer?Mechanisms: Dinuclear Manganese Superoxide Dismutase Mimetics Combined with Pt(II) Complexes	"Mn2L2Ac,Mn2L2,PtDAPCl2，Mn2L2Pt"	"MCF 10A,MCF 7"	MS1 intensity based label-free quantification method	Breast cancer
PXD052305	A549 treated with CISPLATIN/TSA VS CONTROL	"CISPLATIN,TSA"	A549	TMT	Colon cancer
